Body Mass (g),Clutch Completion,Comments,Culmen Depth (mm),Culmen Length (mm),Date Egg,Delta 13 C (o/oo),Delta 15 N (o/oo),Flipper Length (mm),Individual ID,Island,Region,Sample Number,Sex,Species,Stage,studyName
3275.0,Yes,,17.6,38.8,11/21/09,-25.89741,8.88098,191.0,N71A1,Torgersen,Anvers,127,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0910
3700.0,Yes,No blood sample obtained.,17.3,37.8,11/9/07,,,180.0,N6A2,Torgersen,Anvers,12,,Adelie,"Adult, 1 Egg Stage",PAL0708
5400.0,Yes,,14.5,47.6,11/18/07,-25.54456,8.2345,215.0,N33A1,Biscoe,Anvers,5,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0708
3750.0,Yes,,18.1,37.8,11/17/09,-26.03495,8.97533,193.0,N84A2,Dream,Anvers,150,MALE,Adelie,"Adult, 1 Egg Stage",PAL0910
4500.0,Yes,,13.2,46.1,11/27/07,-25.5139,7.993,211.0,N31A1,Biscoe,Anvers,1,FEMALE,Gentoo,"Adult, 1 Egg Stage",PAL0708
6000.0,Yes,,16.2,48.8,12/1/09,-25.88547,8.33825,222.0,N36A2,Biscoe,Anvers,118,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0910
4450.0,Yes,,14.1,48.7,11/27/07,-25.46172,8.14705,210.0,N32A1,Biscoe,Anvers,3,FEMALE,Gentoo,"Adult, 1 Egg Stage",PAL0708
3550.0,Yes,,20.3,41.3,11/17/08,-26.09635,9.14863,194.0,N41A2,Dream,Anvers,86,MALE,Adelie,"Adult, 1 Egg Stage",PAL0809
5000.0,Yes,,15.0,50.1,11/4/08,-26.61414,8.50153,225.0,N14A2,Biscoe,Anvers,54,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0809
4000.0,Yes,,19.0,40.6,11/18/09,-25.60826,9.22537,199.0,N69A2,Torgersen,Anvers,126,MALE,Adelie,"Adult, 1 Egg Stage",PAL0910
4200.0,Yes,,13.8,45.3,11/3/08,-26.79053,8.65015,208.0,N18A1,Biscoe,Anvers,61,FEMALE,Gentoo,"Adult, 1 Egg Stage",PAL0809
3400.0,Yes,,17.1,34.0,11/5/08,-26.69543,8.01485,185.0,N46A1,Dream,Anvers,93,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0809
5350.0,Yes,,15.7,48.7,11/9/08,-26.84506,8.14776,208.0,N5A2,Biscoe,Anvers,40,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0809
5550.0,Yes,,15.3,50.0,11/29/07,-25.19017,8.30515,220.0,N47A2,Biscoe,Anvers,30,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0708
3250.0,Yes,,18.0,40.3,11/16/07,-25.33302,8.36821,195.0,N2A1,Torgersen,Anvers,3,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0708
4700.0,Yes,,14.2,42.8,11/29/07,-25.46327,7.63452,209.0,N50A2,Biscoe,Anvers,32,FEMALE,Gentoo,"Adult, 1 Egg Stage",PAL0708
4975.0,Yes,,15.5,47.2,11/18/09,-26.21651,8.30817,215.0,N23A1,Biscoe,Anvers,103,FEMALE,Gentoo,"Adult, 1 Egg Stage",PAL0910
5000.0,Yes,,13.1,42.9,11/29/07,-25.39181,7.68528,215.0,N44A1,Biscoe,Anvers,25,FEMALE,Gentoo,"Adult, 1 Egg Stage",PAL0708
4625.0,Yes,,14.4,48.4,11/18/09,-26.13971,8.16582,203.0,N21A1,Biscoe,Anvers,99,FEMALE,Gentoo,"Adult, 1 Egg Stage",PAL0910
3450.0,Yes,,18.8,52.2,11/27/09,-24.56481,9.77528,197.0,N93A2,Dream,Anvers,56,MALE,Chinstrap,"Adult, 1 Egg Stage",PAL0910
2700.0,No,,16.6,46.9,11/24/08,-24.73735,9.80589,192.0,N72A1,Dream,Anvers,39,FEMALE,Chinstrap,"Adult, 1 Egg Stage",PAL0809
3450.0,Yes,,17.8,36.0,11/17/09,-25.79189,8.94332,195.0,N84A1,Dream,Anvers,149,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0910
4800.0,Yes,,20.7,52.0,11/14/08,-24.6844,9.43146,210.0,N69A2,Dream,Anvers,38,MALE,Chinstrap,"Adult, 1 Egg Stage",PAL0809
3425.0,Yes,Not enough blood for isotopes.,19.0,41.1,11/13/07,,,182.0,N29A1,Dream,Anvers,47,MALE,Adelie,"Adult, 1 Egg Stage",PAL0708
4550.0,Yes,,13.5,46.5,11/18/07,-25.32829,7.9953,210.0,N33A2,Biscoe,Anvers,6,FEMALE,Gentoo,"Adult, 1 Egg Stage",PAL0708
3800.0,Yes,,18.8,40.6,11/15/08,-25.98843,8.56674,193.0,N24A2,Biscoe,Anvers,58,MALE,Adelie,"Adult, 1 Egg Stage",PAL0809
5600.0,Yes,,17.0,55.9,11/22/09,-26.35425,8.3118,228.0,N22A2,Biscoe,Anvers,102,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0910
5200.0,Yes,,14.8,45.2,11/22/09,-26.11969,8.24246,212.0,N43A1,Biscoe,Anvers,123,FEMALE,Gentoo,"Adult, 1 Egg Stage",PAL0910
3400.0,Yes,,17.1,40.2,11/14/09,-25.54976,9.2881,193.0,N80A1,Dream,Anvers,141,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0910
3200.0,Yes,,17.2,34.6,11/2/08,-26.5387,7.69778,189.0,N39A1,Torgersen,Anvers,81,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0809
3550.0,Yes,,18.5,42.2,11/16/07,-25.49523,8.04787,180.0,N24A2,Dream,Anvers,38,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0708
